ID,Predicted Label,Probability,True Label
1055982,Action,0.8706,Drama
1251266,Romance,0.7765,Horror
1333580,Romance,0.4394,Drama
1531575,Action,0.3585,Action
1573052,Romance,0.8275,Drama
1573060,Romance,0.829,Mystery
1591422,Romance,0.8268,Drama
1622401,Romance,0.7768,Comedy
1682898,Action,0.4477,Horror
1760059,Romance,0.4755,Drama
1006515,Romance,0.6004,Adventure
1008150,Action,0.8758,Adventure
1095545,Action,0.8243,Adventure
1146681,Action,0.6444,Adventure
1156799,Action,0.8435,Adventure
1208546,Romance,0.9033,Action
1303610,Romance,0.4969,Comedy
1456289,Action,0.6839,Romance
1457717,Action,0.7341,Music
1604573,Romance,0.7368,Horror
1045923,Action,0.5624,Crime
1093261,Action,0.4653,Action
1101708,Action,0.628,Drama
1147784,Action,0.4326,Action
1147969,Action,0.7546,Action
1159469,Romance,0.5634,Drama
1185840,Romance,0.3991,Horror
1197878,Romance,0.3772,Action
1248612,Action,0.6548,Action
1512394,Thriller,0.8065,Documentary
1002200,Romance,0.3497,Action
1004468,Action,0.7368,Drama
1007615,Thriller,0.7002,Drama
1008689,Romance,0.4497,Drama
1009076,Thriller,0.4209,Action
1009332,Action,0.7213,Drama
1009562,Romance,0.8033,Comedy
1017962,Action,0.628,Action
1034361,Action,0.5465,Action
1049893,Action,0.5451,Comedy
1000354,Romance,0.5447,Comedy
1000974,Thriller,0.6116,Romance
1002401,Action,0.5896,Action
1010822,Romance,0.7662,Action
1014693,Romance,0.8259,Comedy
1017400,Action,0.7154,Crime
1023358,Romance,0.545,Romance
1024759,Thriller,0.6525,Drama
1052897,Action,0.7154,Drama
1095741,Romance,0.5161,Romance
1000272,Romance,0.5186,Drama
1001113,Action,0.6335,Drama
1001478,Action,0.4055,Science Fiction
1002005,Action,0.6738,Comedy
1002326,Thriller,0.524,Drama
1002612,Thriller,0.3603,Action
1002748,Thriller,0.7538,Drama
1003037,Romance,0.4192,Comedy
1004229,Thriller,0.5486,Action
1021900,Action,0.671,Romance
1004514,Thriller,0.5175,Drama
1006900,Thriller,0.5608,History
1011228,Thriller,0.6017,Drama
1018646,Romance,0.8652,Romance
1019564,Action,0.47,Drama
1020630,Thriller,0.6436,Drama
1027916,Romance,0.7329,Drama
1044023,Thriller,0.5483,Comedy
1054218,Thriller,0.6206,Drama
1064938,Thriller,0.564,Drama
1007604,Action,0.5917,Thriller
1028530,Action,0.3565,Drama
1029423,Romance,0.4405,Crime
1030879,Romance,0.7415,Drama
1033036,Romance,0.5788,Drama
1037602,Thriller,0.758,Drama
1042199,Thriller,0.4682,Drama
1060049,Romance,0.5187,Documentary
1066727,Romance,0.4753,Romance
1080952,Thriller,0.5898,Drama
